movieId,title,genres,year
1,Movie 1 (2009),Fantasy,2009
2,Movie 2 (1971),Comedy|War,1971
3,Movie 3 (2008),Thriller|Fantasy|Crime,2008
4,Movie 4 (1993),Crime|Family,1993
5,Movie 5 (2009),Comedy|Family|Fantasy,2009
6,Movie 6 (2012),Family|Sci-Fi|Romance,2012
7,Movie 7 (1992),Crime,1992
8,Movie 8 (2021),Action,2021
9,Movie 9 (1986),Animation|Mystery,1986
10,Movie 10 (1998),Family|War,1998
11,Movie 11 (1985),Family|War|Action,1985
12,Movie 12 (1973),Drama|Animation,1973
13,Movie 13 (2013),Adventure|Documentary,2013
14,Movie 14 (1983),Mystery|Animation|Horror,1983
15,Movie 15 (2010),Action|Documentary,2010
16,Movie 16 (1980),Fantasy|War|Mystery,1980
17,Movie 17 (2008),Animation|Documentary|Drama,2008
18,Movie 18 (2019),Sci-Fi|Documentary|Thriller,2019
19,Movie 19 (1993),Horror,1993
20,Movie 20 (1991),Animation|Horror,1991
21,Movie 21 (1975),Comedy|War|Sci-Fi,1975
22,Movie 22 (2006),Sci-Fi|Drama,2006
23,Movie 23 (2023),Documentary,2023
24,Movie 24 (1976),Fantasy|Drama|Sci-Fi,1976
25,Movie 25 (2014),Documentary|Adventure,2014
26,Movie 26 (1999),Family|Crime|Animation,1999
27,Movie 27 (1971),Romance|Comedy|Drama,1971
28,Movie 28 (1981),Drama|War,1981
29,Movie 29 (1986),Family|Sci-Fi,1986
30,Movie 30 (2001),Romance,2001
31,Movie 31 (1989),Thriller,1989
32,Movie 32 (1978),Fantasy,1978
33,Movie 33 (1986),Thriller|Fantasy|Crime,1986
34,Movie 34 (2018),Action|Family,2018
35,Movie 35 (1976),Animation|Family|Fantasy,1976
36,Movie 36 (2018),Thriller|Animation|Action,2018
37,Movie 37 (2016),Fantasy|War,2016
38,Movie 38 (1976),Crime,1976
39,Movie 39 (2017),Comedy,2017
40,Movie 40 (2015),Romance|Comedy,2015
41,Movie 41 (1984),Drama|Adventure,1984
42,Movie 42 (1990),Documentary,1990
43,Movie 43 (1974),Drama|Horror,1974
44,Movie 44 (1999),Mystery|Drama|Action,1999
45,Movie 45 (2003),Thriller|Sci-Fi|War,2003
46,Movie 46 (2020),Romance,2020
47,Movie 47 (2016),Romance,2016
48,Movie 48 (1985),Adventure|Documentary|Fantasy,1985
49,Movie 49 (1979),War|Family,1979
50,Movie 50 (2005),Action|Thriller,2005
51,Movie 51 (1998),Horror,1998
52,Movie 52 (1971),Horror|Animation|Fantasy,1971
53,Movie 53 (1991),War|Sci-Fi|Mystery,1991
54,Movie 54 (1987),Romance|Family|Mystery,1987
55,Movie 55 (1985),Action|Drama|Adventure,1985
56,Movie 56 (1974),Horror,1974
57,Movie 57 (1987),Fantasy|Animation,1987
58,Movie 58 (2005),Fantasy|Mystery|Action,2005
59,Movie 59 (2001),Mystery,2001
60,Movie 60 (1989),Mystery|Fantasy,1989
61,Movie 61 (1990),Sci-Fi|Action|Documentary,1990
62,Movie 62 (1985),Action,1985
63,Movie 63 (1990),Animation|Horror|Thriller,1990
64,Movie 64 (2008),Action|Romance|Crime,2008
65,Movie 65 (2003),Documentary|Action|War,2003
66,Movie 66 (1970),Horror|Action,1970
67,Movie 67 (1988),Animation|Horror|Thriller,1988
68,Movie 68 (2021),Comedy,2021
69,Movie 69 (2012),Fantasy,2012
70,Movie 70 (2020),Action|Horror,2020
71,Movie 71 (1995),Adventure,1995
72,Movie 72 (1977),Family|Drama,1977
73,Movie 73 (2021),Romance,2021
74,Movie 74 (2020),War|Action|Documentary,2020
75,Movie 75 (1977),Comedy|Adventure|Family,1977
76,Movie 76 (1986),Crime,1986
77,Movie 77 (2018),Fantasy|Thriller,2018
78,Movie 78 (2005),Mystery|Crime,2005
79,Movie 79 (2013),Sci-Fi,2013
80,Movie 80 (1986),Fantasy,1986
81,Movie 81 (1994),Comedy|Sci-Fi|Animation,1994
82,Movie 82 (2012),Romance|Sci-Fi,2012
83,Movie 83 (1981),Romance|Drama|Fantasy,1981
84,Movie 84 (1978),Mystery|Comedy,1978
85,Movie 85 (1986),Horror,1986
86,Movie 86 (1977),Fantasy,1977
87,Movie 87 (1990),Fantasy|Horror|Action,1990
88,Movie 88 (2005),Crime|Family|Romance,2005
89,Movie 89 (1989),Romance|Action|Drama,1989
90,Movie 90 (1984),Thriller|Comedy|Action,1984
91,Movie 91 (2007),Romance,2007
92,Movie 92 (2000),War|Mystery,2000
93,Movie 93 (1976),Family|Adventure|Mystery,1976
94,Movie 94 (1972),Thriller,1972
95,Movie 95 (2014),Drama,2014
96,Movie 96 (1975),War|Crime|Action,1975
97,Movie 97 (1977),Action|Horror|Documentary,1977
98,Movie 98 (1987),Animation,1987
99,Movie 99 (1992),Adventure|Mystery,1992
100,Movie 100 (2022),Horror|Family,2022
101,Movie 101 (1978),Comedy,1978
102,Movie 102 (1992),Thriller,1992
103,Movie 103 (1996),Crime|Thriller|War,1996
104,Movie 104 (2018),Horror|Crime,2018
105,Movie 105 (1989),Drama|War,1989
106,Movie 106 (2006),Comedy,2006
107,Movie 107 (1990),Animation,1990
108,Movie 108 (1976),Drama|Comedy,1976
109,Movie 109 (1974),Action,1974
110,Movie 110 (2012),Action|Romance|Animation,2012
111,Movie 111 (1982),Horror|Documentary,1982
112,Movie 112 (1981),Fantasy,1981
113,Movie 113 (2001),Drama,2001
114,Movie 114 (1988),Animation,1988
115,Movie 115 (1990),Sci-Fi|Adventure,1990
116,Movie 116 (1973),Horror,1973
117,Movie 117 (2015),Crime|Sci-Fi,2015
